,Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
24,24,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  19:27:08 ,83025483,4,2,41,37,29,14,12,4,17,8,10.25,4.5,16,7,9.25,4.5,14,5,7.25,4.5,7,7,7,0,6,6,6,0,2,2,2,0,0.662447215,0.590180246,0.397468329,0.072266969,16605096.6,11811096.75,28067552,467290,74963403,24987801,3515525.123,28534842,21504663,54957931,54957931,-1,54957931,54957931,40,4,8,20,2,8,0.048177979,0.02408899,9.166666667,7,17,3.868677638,14.96666667,8.166666667,6,16,3.868677638,14.96666667,5.5,2,14,4.415880433,19.5,116822.5,233645,467290,0,20639548.25,8802878.764,28067552,8062080,1,12,6,MASTER,1,129,0,0,0,4,2,REPLAY
12677,268,192.168.1.12-192.168.1.7-52856-20003,192.168.1.12,192.168.1.7,52856,20003,6, 15/05/2020  19:26:03 ,118062911,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97453412,14.85648613,11.48540205,1.118047987,901243.5954,982286.8806,2001897,378,118062030,1844719.219,478282.6188,2002901,36936,118061938,1788817.242,566473.938,2002875,378,650,65,130,670,67,268,0.550553933,0.567494054,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,15,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
9277,220,192.168.1.11-192.168.1.3-51222-20002,192.168.1.11,192.168.1.3,51222,20002,6, 15/05/2020  20:10:02 ,118052218,67,69,539,472,338,1371,1302,1026,17,5,8.044776119,1.770403445,16,4,7.044776119,1.770403445,14,2,5.044776119,1.770403445,282,7,19.86956522,53.81665854,281,6,18.86956522,53.81665854,277,2,14.86956522,53.81665854,16.17928093,15.02724837,11.554209,1.152032569,874460.8741,970770.1937,2001132,178,118051938,1788665.727,534660.3805,2001480,17740,118051857,1736056.721,606409.5938,2001450,450,670,67,134,690,69,276,0.567545457,0.584487112,14.04411765,5,282,38.6727711,1495.583224,13.04411765,4,281,38.6727711,1495.583224,10.02941176,2,277,38.53155343,1484.68061,0,0,0,0,0,0,0,0,3,11,136,MASTER,1,129,0,0,0,67,69,COLD_RESTART
35866,488,192.168.1.11-192.168.1.4-39082-20000,192.168.1.11,192.168.1.4,39082,20000,6, 16/05/2020  20:50:13 ,189,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,5328042.328,5317460.317,5285714.286,10582.01058,189,-1,189,189,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,5291.005291,5291.005291,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
24779,471,192.168.1.1-192.168.1.3-39652-20000,192.168.1.1,192.168.1.3,39652,20000,6, 16/05/2020  18:06:47 ,192,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,5244791.667,5234375,5203125,10416.66667,192,-1,192,192,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,5208.333333,5208.333333,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
15138,358,192.168.1.1-192.168.1.7-59904-20001,192.168.1.1,192.168.1.7,59904,20001,6, 15/05/2020  21:18:06 ,118061294,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07639503,14.94139138,11.51944006,1.135003653,887678.9023,974455.2887,2001508,208,118061041,1816323.708,500654.6526,2001837,24919,118061067,1762105.478,579731.7801,2001829,27994,660,66,132,680,68,272,0.55903165,0.575972003,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,2,15,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
21172,213,192.168.1.12-192.168.1.6-53837-20003,192.168.1.12,192.168.1.6,53837,20003,6, 16/05/2020  00:56:04 ,118080125,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07383122,14.93900858,11.51760298,1.134822647,887820.4887,970176.0276,2006910,123,118079916,1816614.092,478734.8961,2016046,99970,118079929,1762387,564957.1947,2009903,463,660,66,132,680,68,272,0.558942498,0.575880149,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,4,14,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
147,38,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  20:01:11 ,109884634,9,2,99,90,72,14,12,4,17,8,11,4.5,16,7,10,4.5,14,5,8,4.5,7,7,7,0,6,6,6,0,2,2,2,0,1.028351243,0.928246255,0.691634465,0.100104988,10988463.4,6168935.634,21999941,2003550,109884634,13735579.25,6471106.048,21999941,5866690,2003550,2003550,-1,2003550,2003550,90,9,18,20,2,8,0.081904081,0.018200907,10.27272727,7,17,4.337992833,18.81818182,9.272727273,6,16,4.337992833,18.81818182,6.909090909,2,14,4.700096711,22.09090909,222616.6667,667850,2003550,0,11986787.11,5621425.317,21999941,5866690,1,13,11,MASTER,1,129,0,0,0,9,2,REPLAY
7054,378,192.168.1.12-192.168.1.5-34359-20003,192.168.1.12,192.168.1.5,34359,20003,6, 15/05/2020  02:38:08 ,118064680,66,68,570,504,372,1364,1296,1024,17,8,8.636363636,2.072800882,16,7,7.636363636,2.072800882,14,5,5.636363636,2.072800882,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.38085158,15.24588048,11.8240273,1.134971102,887704.3609,985299.7427,2004985,218,118064363,1816374.815,543102.5284,2005251,7850,118064417,1762155.478,615192.2842,2005220,7975,660,66,132,680,68,272,0.559015618,0.575955485,14.43283582,7,282,38.91622925,1514.472899,13.43283582,6,281,38.91622925,1514.472899,10.41791045,2,277,38.78110898,1503.974414,0,0,0,0,0,0,0,0,4,13,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
35085,817,192.168.1.1-192.168.1.3-40856-20000,192.168.1.1,192.168.1.3,40856,20000,6, 16/05/2020  21:59:26 ,107,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,9411214.953,9392523.364,9336448.598,18691.58879,107,-1,107,107,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,9345.794393,9345.794393,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
